id_laporan;skpd;kategori;waktu_terima;waktu_selesai;selisih_hari;status;kota/kabupaten
1226706;KELURAHAN CIDENG;Iklan Liar;2019-01-31;2019-02-01;1;complete;Jakarta Pusat
1226694;KELURAHAN PEGANGSAAN;Iklan Liar;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226689;KELURAHAN SENEN;Tanaman Bermasalah;2019-01-31;2019-02-01;1;complete;Jakarta Pusat
1226675;KELURAHAN CIDENG;Iklan Liar;2019-01-31;2019-02-01;1;complete;Jakarta Pusat
1226674;KELURAHAN CIDENG;Sampah;2019-01-31;2019-02-01;1;complete;Jakarta Pusat
1226663;KELURAHAN SENEN;PJU Rusak;2019-01-31;2019-02-01;1;complete;Jakarta Pusat
1226630;KELURAHAN CEMPAKA PUTIH BARAT;Mobilitas dan Akses;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226628;KELURAHAN GAMBIR;Iklan Liar;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226626;KELURAHAN CEMPAKA PUTIH TIMUR;Sampah;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226609;KELURAHAN PEGANGSAAN;Sampah;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226601;KELURAHAN CEMPAKA PUTIH BARAT;Parkir Liar;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226556;KELURAHAN CEMPAKA PUTIH TIMUR;Sampah;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226555;KELURAHAN CEMPAKA PUTIH TIMUR;Sampah;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226554;KELURAHAN PETAMBURAN;Sampah;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226550;KELURAHAN CEMPAKA PUTIH TIMUR;Iklan Liar;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226549;KELURAHAN PETAMBURAN;Sampah;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226503;KELURAHAN CEMPAKA BARU;Fogging DBD;2019-01-31;2019-02-04;4;complete;Jakarta Pusat
1226484;KELURAHAN KRAMAT;Sampah;2019-01-31;2019-02-01;1;complete;Jakarta Pusat
1226474;KELURAHAN MANGGA DUA SELATAN;Kaki Lima Liar;2019-01-31;2019-01-31;1;complete;Jakarta Pusat
1226468;KELURAHAN PETAMBURAN;Sampah;2019-01-30;2019-02-04;5;complete;Jakarta Pusat
1226356;KELURAHAN UTAN PANJANG;Iklan Liar;2019-01-30;2019-01-31;1;complete;Jakarta Pusat
1226355;KELURAHAN UTAN PANJANG;Sampah;2019-01-30;2019-01-31;1;complete;Jakarta Pusat
1226338;KELURAHAN KEMAYORAN;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226334;KELURAHAN KEMAYORAN;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226333;KELURAHAN KEMAYORAN;Iklan Liar;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226332;KELURAHAN KEMAYORAN;Iklan Liar;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226330;KELURAHAN KEMAYORAN;Iklan Liar;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226325;KELURAHAN KEMAYORAN;Iklan Liar;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226323;KELURAHAN GUNUNG SAHARI SELATAN;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226322;KELURAHAN GUNUNG SAHARI SELATAN;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226321;KELURAHAN GUNUNG SAHARI SELATAN;Pelanggaran;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226320;KELURAHAN GUNUNG SAHARI SELATAN;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226318;KELURAHAN GUNUNG SAHARI SELATAN;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226317;KELURAHAN GUNUNG SAHARI SELATAN;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226314;KELURAHAN PASAR BARU;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226310;KELURAHAN PASAR BARU;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226309;KELURAHAN PASAR BARU;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226288;KELURAHAN PEGANGSAAN;Iklan Liar;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226271;KELURAHAN GAMBIR;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226235;KELURAHAN CEMPAKA PUTIH TIMUR;Sampah;2019-01-30;2019-01-31;1;complete;Jakarta Pusat
1226231;KELURAHAN SUMUR BATU;Tanaman Bermasalah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226224;KELURAHAN PEGANGSAAN;Sampah;2019-01-30;2019-01-30;1;complete;Jakarta Pusat
1226184;KELURAHAN KWITANG;Tanaman Bermasalah;2019-01-30;2019-01-31;1;complete;Jakarta Pusat
1226089;KELURAHAN CEMPAKA PUTIH TIMUR;Mobilitas dan Akses;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226079;KELURAHAN CEMPAKA PUTIH TIMUR;Tanaman Bermasalah;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226074;KELURAHAN CEMPAKA PUTIH TIMUR;Mobilitas dan Akses;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226073;KELURAHAN CEMPAKA PUTIH TIMUR;Mobilitas dan Akses;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226036;KELURAHAN RAWASARI;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226034;KELURAHAN RAWASARI;Parkir Liar;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226033;KELURAHAN RAWASARI;Pelanggaran;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226031;KELURAHAN RAWASARI;Pelanggaran;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226029;KELURAHAN RAWASARI;Iklan Liar;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226030;KELURAHAN RAWASARI;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226024;KELURAHAN JOHAR BARU;Tanaman Bermasalah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226022;KELURAHAN JOHAR BARU;Tunawisma/Pengemis;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226021;KELURAHAN JOHAR BARU;Fasilitas Umum;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226017;KELURAHAN JOHAR BARU;Sampah;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226012;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226011;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226010;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226009;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226008;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226007;KELURAHAN CEMPAKA PUTIH BARAT;Pelanggaran;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226006;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226005;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-02-02;4;complete;Jakarta Pusat
1226004;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1226003;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-30;1;complete;Jakarta Pusat
1226002;KELURAHAN CEMPAKA PUTIH BARAT;Iklan Liar;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225856;KELURAHAN DURI PULO;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225846;KELURAHAN RAWASARI;Pelanggaran;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225782;KELURAHAN CEMPAKA PUTIH TIMUR;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225773;KELURAHAN GELORA;Mobilitas dan Akses;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225768;KELURAHAN KARET TENGSIN;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225766;KELURAHAN KARET TENGSIN;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225764;KELURAHAN KARET TENGSIN;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225761;KELURAHAN KARET TENGSIN;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225758;KELURAHAN BENDUNGAN HILIR;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225757;KELURAHAN BENDUNGAN HILIR;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225755;KELURAHAN BENDUNGAN HILIR;Sampah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225724;KELURAHAN KWITANG;Pelanggaran;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225751;KELURAHAN KEBON KELAPA;Tanaman Bermasalah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
1225749;KELURAHAN CEMPAKA PUTIH TIMUR;Tanaman Bermasalah;2019-01-29;2019-01-29;1;complete;Jakarta Pusat
