id_laporan;nama_skpd;kategori;rincian_masalah;status;tanggal_masuk;tanggal_selesai;selisih_hari
JK2001010317;KELURAHAN TOMANG;Pelayanan Perhubungan;"null""";complete;2019-01-01;2019-01-01;0
JK2001010351;KELURAHAN JEMBATAN LIMA;Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan;"null""";complete;2019-01-01;2019-01-01;0
JK2001010339;KELURAHAN KEDAUNG KALI ANGKE;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-05;4
QL001340087;KELURAHAN MANGGA BESAR;Sampah;Sampah Ruang Publik;complete;2019-01-01;2019-01-01;0
QL001340080;KELURAHAN JELAMBAR BARU;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010329;KELURAHAN WIJAYA KUSUMA;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-09;7
JK2001010328;KELURAHAN MERUYA SELATAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-02;1
QL001340027;KELURAHAN WIJAYA KUSUMA;Sampah;Sampah Lingkungan;complete;2019-01-01;2019-01-02;1
JK2001010262;KELURAHAN JATI PULO;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
QL001340007;KELURAHAN KALI DERES;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-02;1
JK2001010259;KELURAHAN KAPUK;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010242;KELURAHAN KEBON JERUK;Administrasi terkait penanggulangan kebakaran dan penyelamatan;"null""";complete;2019-01-01;2019-01-01;0
QL001339990;KELURAHAN KAPUK;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010226;KELURAHAN KALI DERES;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-02;1
JK2001010216;KELURAHAN KALI DERES;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-02;1
JK2001010214;KELURAHAN KALI DERES;Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan;"null""";complete;2019-01-01;2019-01-02;1
JK2001010209;KELURAHAN PEGADUNGAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010195;KELURAHAN MERUYA SELATAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-02;1
JK2001010193;KELURAHAN MERUYA SELATAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-02;1
JK2001010191;KELURAHAN SUKABUMI SELATAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-10;7
QL001339959;KELURAHAN JOGLO;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010184;KELURAHAN SEMANAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-04;3
JK2001010161;KELURAHAN KEAGUNGAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
QL001339941;KELURAHAN KAPUK;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010155;KELURAHAN KAPUK;Administrasi terkait penanggulangan kebakaran dan penyelamatan;"null""";complete;2019-01-01;2019-01-01;0
JK2001010148;KELURAHAN KAPUK;Administrasi terkait penanggulangan kebakaran dan penyelamatan;"null""";complete;2019-01-01;2019-01-01;0
JK2001010147;KELURAHAN KAPUK;Administrasi terkait penanggulangan kebakaran dan penyelamatan;"null""";complete;2019-01-01;2019-01-01;0
QL001339920;KELURAHAN KEMANGGISAN;Saluran air/kali/sungai;"null""";complete;2019-01-01;2019-01-02;1
QL001339884;KELURAHAN TEGAL ALUR;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010083;KELURAHAN PEGADUNGAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
QL001339882;KELURAHAN TEGAL ALUR;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
QL001339876;KELURAHAN PEGADUNGAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
QL001339875;KELURAHAN PEGADUNGAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
QL001339873;KELURAHAN PEGADUNGAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
QL001339870;KELURAHAN PEGADUNGAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
QL001339869;KELURAHAN PEGADUNGAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010068;KELURAHAN SEMANAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-04;3
JK2001010066;KELURAHAN SEMANAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-04;3
QL001339854;KELURAHAN KAPUK;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-01;0
JK2001010061;KELURAHAN MERUYA SELATAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-02;1
QL001339843;KELURAHAN SEMANAN;Banjir;Laporan Banjir;complete;2019-01-01;2019-01-04;3
