id_laporan;skpd;kategori;rincian_masalah;status;tanggal_masuk;tanggal_selesai;waktu_selesai
QL001226828;KELURAHAN TEBET TIMUR;Sampah;Sampah Lingkungan;complete;01/02/2019;01/02/2019;1
QL001226837;KELURAHAN RAGUNAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;01/02/2019;01/02/2019;1
QL001226838;KELURAHAN RAGUNAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;01/02/2019;01/02/2019;1
QL001226839;KELURAHAN RAGUNAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;01/02/2019;01/02/2019;1
QL001226845;KELURAHAN RAGUNAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;01/02/2019;01/02/2019;1
QL001226856;KELURAHAN RAGUNAN;Arus lalu lintas;"Lain-lain:
kendaraan masuk jalur busway";complete;01/02/2019;01/02/2019;1
QL001226902;KELURAHAN BANGKA;Jembatan Penyeberangan Orang (JPO) dan/atau halte;"Lain-lain:
coretan liar";complete;01/02/2019;01/02/2019;1
QL001226915;KELURAHAN KUNINGAN BARAT;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;01/02/2019;01/02/2019;1
QL001226922;KELURAHAN PONDOK PINANG;Sampah;"Lain-lain:
rumli";complete;01/02/2019;01/02/2019;1
QL001226921;KELURAHAN PONDOK PINANG;Sampah;"Lain-lain:
rumli";complete;01/02/2019;01/02/2019;1
QL001226930;KELURAHAN GROGOL SELATAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;01/02/2019;01/02/2019;1
QL001226948;KELURAHAN GROGOL SELATAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;01/02/2019;01/02/2019;1
QL001226959;KELURAHAN JATI PADANG;Gangguan ketenteraman dan ketertiban;"Lain-lain:
pelanggaran ketertiban ";complete;01/02/2019;01/02/2019;1
EM000010641;KELURAHAN CIPULIR;Pelanggaran Perda/Pergub;Pungli non Aparat;complete;01/02/2019;02/02/2019;1
QL001226974;KELURAHAN CIPETE UTARA;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;01/02/2019;01/02/2019;1
QL001226985;KELURAHAN PEJATEN TIMUR;Banjir;"Lain-lain:
saluran tersumbat sampah ";complete;01/02/2019;01/02/2019;1
